tmdb_id,genre_id
27205,28
27205,53
27205,878
27205,9648
27205,12
155,18
155,28
155,80
155,53
19995,28
19995,12
19995,14
19995,878
24428,878
24428,28
24428,12
293660,28
293660,12
293660,35
157336,12
157336,18
157336,878
68718,18
68718,37
118340,28
118340,878
118340,12
550,18
70160,878
70160,12
70160,14
76341,28
76341,12
76341,878
76341,53
49026,28
49026,80
49026,18
49026,53
603,28
603,878
1726,28
1726,878
1726,12
68721,28
68721,12
68721,878
120,12
120,14
120,28
135397,28
135397,12
135397,878
135397,53
680,53
680,80
49051,12
49051,14
49051,28
278,18
278,80
122,12
122,14
122,28
13,35
13,18
13,10749
140607,28
140607,12
140607,878
140607,14
597,18
597,10749
597,53
37724,28
37724,12
37724,53
297761,28
297761,12
297761,80
297761,14
297761,878
121,12
121,14
121,28
272,28
272,80
272,18
271110,12
271110,28
271110,878
286217,18
286217,12
286217,878
22,12
22,14
22,28
209112,28
209112,12
209112,14
671,12
671,14
671,10751
1771,28
1771,12
1771,878
14160,16
14160,35
14160,10751
14160,12
10138,12
10138,28
10138,878
99861,28
99861,12
99861,878
11,12
11,28
11,878
106646,80
106646,18
106646,35
150540,18
150540,35
150540,16
150540,10751
1930,28
1930,12
1930,14
10195,12
10195,14
10195,28
101299,12
101299,28
101299,878
16869,18
16869,28
16869,53
16869,10752
20352,16
20352,10751
11324,18
11324,53
11324,9648
281957,37
281957,18
281957,12
281957,53
49521,28
49521,12
49521,14
49521,878
10681,16
10681,10751
18785,35
12,16
12,10751
177572,12
177572,10751
177572,16
177572,28
177572,35
105,12
105,35
105,878
105,10751
127585,28
127585,12
127585,14
127585,878
585,16
585,35
585,10751
12445,10751
12445,14
12445,12
207703,80
207703,35
207703,28
207703,12
240832,28
240832,878
673,12
673,14
673,10751
102899,878
102899,28
102899,12
238,18
238,80
210577,9648
210577,53
210577,18
1891,12
1891,28
1891,878
672,12
672,14
672,10751
807,80
807,9648
807,53
87827,12
87827,18
87827,28
205596,36
205596,18
205596,53
205596,10752
10528,28
10528,12
10528,80
10528,9648
100402,28
100402,12
100402,878
49047,878
49047,53
49047,18
131631,878
131631,12
131631,53
674,12
674,14
674,10751
12444,12
12444,14
12444,10751
72190,28
72190,18
72190,27
72190,878
72190,53
75656,53
75656,80
675,12
675,14
675,10751
675,9648
98,28
98,18
98,12
198663,28
198663,9648
198663,878
198663,53
8587,10751
8587,16
8587,18
245891,28
245891,53
109445,16
109445,12
109445,10751
767,12
767,14
767,10751
862,16
862,35
862,10751
77338,18
77338,35
557,14
557,28
58,12
58,14
58,28
9806,28
9806,12
9806,16
9806,10751
82992,28
82992,53
82992,80
49538,28
49538,878
49538,12
70981,878
70981,12
70981,9648
857,18
857,36
857,10752
1271,28
1271,12
1271,10752
24,28
24,80
1865,12
1865,28
1865,14
14161,28
14161,12
14161,878
137113,28
137113,878
6479,18
6479,27
6479,28
6479,53
6479,878
269149,16
269149,12
269149,10751
269149,35
329,12
329,878
68726,28
68726,878
68726,12
122917,28
122917,12
122917,14
76338,28
76338,12
76338,14
75612,28
75612,878
75612,12
75612,9648
264660,18
264660,878
82693,18
82693,35
82693,10749
246655,878
72105,35
72105,14
157350,12
157350,28
157350,878
59967,28
59967,53
59967,878
12155,10751
12155,14
12155,12
1892,12
1892,28
1892,878
62177,16
62177,12
62177,35
62177,10751
62177,28
62177,14
23483,28
23483,80
93456,16
93456,35
93456,10751
211672,10751
211672,16
211672,12
211672,35
10193,16
10193,10751
10193,35
37165,35
37165,18
194662,18
194662,35
82690,10751
82690,16
82690,35
82690,12
120467,35
120467,18
57158,12
57158,14
285,12
285,14
285,28
102651,14
102651,12
102651,28
102651,10751
102651,10749
190859,10752
190859,28
13475,878
13475,28
13475,12
348,27
348,28
348,53
348,878
752,28
752,53
752,14
44214,18
44214,53
206647,28
206647,12
206647,80
274,80
274,18
274,53
1893,12
1893,28
1893,878
607,28
607,12
607,35
607,878
119450,878
119450,28
119450,18
119450,53
1124,18
1124,9648
1124,53
2062,16
2062,35
2062,10751
2062,14
54138,28
54138,12
54138,878
1422,18
1422,53
1422,80
61791,53
61791,28
61791,18
61791,878
8681,28
8681,53
424,18
424,36
424,10752
558,28
558,12
558,14
273248,80
273248,18
273248,9648
273248,37
244786,18
127380,12
127380,16
127380,35
127380,10751
10191,14
10191,12
10191,16
10191,10751
101,53
101,80
101,18
280,28
280,53
280,878
102382,28
102382,12
102382,14
168259,28
41154,28
41154,35
41154,878
152601,10749
152601,878
152601,18
218,28
218,53
218,878
1895,878
1895,12
1895,28
808,12
808,16
808,35
808,10751
808,14
36657,12
36657,28
36657,878
77,9648
77,53
497,14
497,18
497,80
64688,28
64688,35
64688,80
131634,28
131634,12
131634,878
1858,12
1858,878
1858,28
76170,28
76170,878
76170,12
76170,14
2080,12
2080,28
2080,53
2080,878
1894,12
1894,28
1894,878
393,28
393,80
393,53
228150,10752
228150,18
228150,28
56292,28
56292,53
56292,12
562,28
562,53
920,16
920,12
920,35
920,10751
58574,12
58574,28
58574,80
58574,9648
129,14
129,12
129,16
129,10751
18,12
18,14
18,28
18,53
18,878
425,16
425,35
425,10751
425,12
85,12
85,28
36557,12
36557,28
36557,53
165,12
165,35
165,10751
165,878
262500,12
262500,878
262500,53
640,18
640,80
863,16
863,35
863,10751
694,27
694,53
2048,28
2048,878
51876,53
51876,9648
51876,878
64682,18
64682,10749
222935,10749
222935,18
161,53
161,80
45243,35
78,878
78,18
78,53
64690,18
64690,28
64690,53
64690,80
500,80
500,53
76203,18
76203,36
118,12
118,35
118,10751
118,14
38,878
38,18
38,10749
162,14
162,18
162,10749
8966,12
8966,14
8966,18
8966,10749
559,14
559,28
559,12
87101,878
87101,28
87101,53
87101,12
19908,35
19908,27
637,35
637,18
2501,28
2501,18
2501,9648
2501,53
62211,16
62211,10751
36668,12
36668,28
36668,878
36668,53
68728,14
68728,12
68728,10751
141,14
141,18
141,9648
36658,12
36658,28
36658,878
36658,53
328111,16
328111,10751
47964,28
47964,53
49530,28
49530,53
49530,878
68724,878
68724,28
68724,18
68724,53
604,12
604,28
604,53
604,878
812,16
812,10751
812,35
812,12
812,14
812,10749
37799,18
9799,28
9799,80
9799,53
242582,80
242582,18
242582,53
68734,18
68734,53
17654,878
14,18
185,878
185,18
38757,16
38757,10751
240,18
240,80
197,28
197,18
197,36
197,10752
194,35
194,10749
266856,18
266856,10749
4922,14
4922,18
4922,53
4922,9648
4922,10749
187017,80
187017,35
187017,28
291805,28
291805,12
291805,35
291805,80
291805,9648
291805,53
601,878
601,12
601,10751
601,14
38356,28
38356,878
38356,12
216015,18
216015,10749
216015,53
602,28
602,12
602,878
629,18
629,80
629,53
953,10751
953,16
8358,12
8358,18
60304,14
60304,27
60304,28
679,27
679,28
679,53
679,878
177677,28
177677,12
177677,53
124905,28
124905,878
124905,53
9502,12
9502,16
9502,10751
9502,35
745,9648
745,53
745,18
89,12
89,28
